Дата прилета,Дата убытия,Количество дней
28-08-12,19-08-13,356
06-09-13,01-08-14,329
14-08-14,07-02-15,177
13-02-15,01-05-16,443
14-05-16,28-06-16,45
02-09-16,21-06-17,292
05-09-17,20-09-17,15
03-10-17,11-10-17,8
10-11-17,13-11-17,3
21-12-17,14-01-18,24
16-02-18,19-02-18,3
15-03-18,25-04-18,41
18-05-18,21-05-18,3
07-06-18,11-06-18,4
07-09-18,10-09-18,3
19-10-18,12-11-18,24
01-02-19,16-03-19,43
22-03-19,10-05-19,49
17-05-19,20-05-19,3
05-06-19,10-06-19,5
18-09-19,26-09-19,8
21-11-19,29-11-19,8
23-12-19,10-01-20,18
26-01-20,30-01-20,4
18-12-23,13-01-24,26
